Tax Enquiry,Answer to the query
ما هي شروط المؤسسات المعفاه من ضريبة الدخل؟,"اذا كان مالك المؤسسه أو احد الشركاء متفرغ.
 اذا يوجد في المؤسسه عدد اثنان عمانين لا تقل فترة عملهم عن ستة اشهر خلال السنه الضريبية ويكونوا مسجلين لدى وزارة العمل بشرط توافر الشروط التالية:
 1-راس المال لايزيد عن 60 الف.
 2- متوسط عدد العمال لايزيد عن 25 عامل.
 3-اجمالي الدخل السنوي لايزيد عن 150 الف.
 4-لايوجد لدى الخاضع نشاط مهني يقوم بممارسته."
I registered for VAT by mistake and my annual income does not reach the mandatory limit for registration. What are the steps to cancel my registration?,"Open VAT services and choose service No. 5 and fill in the conditions for the reason of cancellation with submitting the following attachments: 
 1. copy of the commercial registration 
 2. copy of the ID card 
 3. Lease contract
 4. Bank statement for one year."
قمت بالتسجيل في ضريبه القيمه المضافه بالخطأ ودخلي السنوي لا يصل للحد الالزامي للتسجيل . فما هيه خطوات الالغاء في ضريبه القيمه المضافه؟ .,"قم بفتح خدمات ضريبه القيمه المضافه وقم باختيار الخدمه رقم 5 وقم بتعبئة الشروط لسبب الالغاء مع ارفاق التالي:
 1-نسخه من السجل التجاري
 2- نسخه من البطاقه الشخصيه
 3- عقد الايجار
 4- كشف حساب بنكي لمده سنه"
"I changed the name of the company from the Ministry of Commerce and Industry, but when the tax card was extracted, the old name appeared to me.","Enter the e-services for income tax, then choose service No. 9, submit a request to amend the data, then wait for the approval of the request."
قمت بتغير اسم الشركه من وزاره التجاره والصناعه ولكن عند استخراج البطاقه الضريبيه ظهر لي الاسم القديم .,قم بدخول الخدمات الالكترونيه لضريبه الدخل ثم اختر الخدمه رقم 9 وقم بتقديم طلب تعديل للبيانات ثم انتظر الموافقه على الطلب .
I opened the system to get the tax card but there is a notification for claims and obligations.,You have to submit the returns and claims mentioned to you and then you will be able to issue the card.
قمت بفتح النظام لاستخراج البطاقه الضريبيه ولكن هناك اشعار لمطالبات والتزامات,عليك تقديم الاقرارات والمطالبات المذكوره لديك وبعدها سوف تتمكن من اصدار البطاقه .
A taxpayer inquires about the bank guarantee? what is it?,It is a balance in the bank placed by the taxpayer as a guarantee for the Tax Authority to enter the goods. It is only for imported goods at the borders.
خاضع يستفسر عن الضمان البنكي ؟ما هو ؟,هو رصيد في البنك يضعه الخاضع كضمان للجهاز لدخول البضاعه . ويكون فقط للبضاعه المستورده عند الحدود
A taxpayer has a mistake in submitting the return.,He should create a new return and communicate with his registry inspector.
خاضع لديه خطأ في تقديم الاقرار .,يقوم بانشاء اقرار جديد ويقوم بالتواصل مع المفتش الخاص بالسجل لديه .
What is income tax?,It is a tax binding on every commercial registration holder.
ماهي ضريبة الدخل ؟,هي ضريبة ملزمة لكل حامل سجل تجاري
What is the purpose of using tax card?,As evidence that the taxpayer is registered with the Tax Authority. It is required by the following authorities: the bank to open an account / and the Ministry of Labor to renew.
لي أي غرض تستخدم البطاقة الضريبية؟,كدليل على ان الخاضع مسجل لدى الجهاز وتطلبها الجهات التالية : البنك لفتح حساب /و وزارة العمل لتجديد
How do I get a tax card?,"Through electronic services after registration in the Tax Authority, income tax, service number 20, and its price is 10 OMR."
كيف استخرج البطاقة الضريبية؟,عن طريق الخدمات الالكترونية بعد التسجيل في جهاز الضرائب ضريبة الدخل خدمة رقم 20 وسعرها 10 ريالات
How can I modify data in income tax?,Through service number 9
كيفية تعديل بيانات في ضريبة الدخل؟,عن طريق خدمة رقم 9
How can I file an income tax return?,"Through e-services, service No. 6 and follow the guideline"
كيفية تقديم الإقرار لضريبة الدخل ؟,عن طريق الخدمات الالكترونية خدمة رقم 6 واتباع الدليل الارشادي
Is it possible to refund in the income tax?,Maybe in some cases such as special technical problems in payment operations
هل يمكن الإسترداد في ضريبة الدخل؟,يمكن في بعض الحالات كالمشكلات الفنيه الخاصه في عمليات الدفع
Are there preliminary returns in income tax?,The taxpayer must submit final returns directly.
هل يوجد إقرارات مبدئية في ضريبة الدخل ؟,يجب على الخاضع تقديم اقرارات نهائية مباشرة
How can I know my obligations and claims?,Login through the system (Service No. 4) Claims and Payments.
كيف استطيع معرفة ماعلي من التزامات ومطالبات ؟,ادخل عن طريق النظام (الخدمة رقم4) المطالبات والمدفوعات
How can I pay for income tax returns?,Enters through the system (Service No. 4)
كيفية طريقة الدفع لإقرارات ضريبة الدخل ؟,يدخل عن طريق النظام (الخدمة رقم4)
How to grant validity to income tax?,"Enter through the system, service number 1(representations rights) or service 29 (Taxpayer’s representative’s list)."
كيفية منح صلاحية لضريبة الدخل ؟,يدخل عن طريق النظام (الخدمة رقم 1) منح الصلاحيات
How do I know if I am subject to a 3% or 15% rate?,"Subject to 3% if the capital does not exceed 60.000 OMR, the total income in the tax year does not exceed 150.000 OMR, the average number of workers does not exceed 25 workers in addition to not practicing an occupational activity. It is subject to a rate of 15% if one of the previous conditions is dropped."
كيف لي معرفة ما اذا كنت خاضع لمعدل 3% او 15%؟,"يخضع ل 3% اذا كان لايزيد رأس المال عن 60.000 ريال عماني
 ولايزيد الدخل الاجمالي في السنة الضريبه عن 150.000 ريال عماني
 ولا يزيد متوسط عدد العمال عن 25 عامل بالاضافه عدم ممارسة نشاط مهني. ويخضع لمعدل 15% اذا سقط احد الاشتراطات السابقه."
What is the rate of income tax?,"3%
 15%
 Exempted."
ماهي معدل ضريبة الدخل ؟,"3%
 15%
 المعفاه"
Can payment be deferred in income tax?,Maybe with a suspension of payment.
هل يمكن تأجيل السداد في ضريبة الدخل ؟,يمكن مع وقف السداد
Is income tax levied on free zones?,"Yes, the return must be submitted except for some industrial activities."
هل يتم فرض ضريبة الدخل على المناطق الحرة ؟,نعم ويجب تقديم الاقرار باستثناء بعض الانشطة الصناعيه.
Can I submit an objection to the tax assessment?,"Yes, you can through service number 12"
هل يمكن تقديم الاعتراض على الربط الضريبي ؟,نعم يمكنك عن طريق خدمة رقم 12
"I want to close the institution, so what procedures should I clear?",You must submit the due returns and then close the activity from the Ministry of Commerce and Industry and bring the cancellation papers to the Tax Authority.
أريد غلق المؤسسة ما هي الإجراءات التي يجب علي تخليصها؟,يجب عليك تقديم الاقراءات الواجبة عليك ومن ثم تغلق النشاط من وزارة التجارة والصناعة وتحضر أوراق الإلغاء لجهاز الضرائب
"I want to close the company, so what procedures should I clear?","You have to extract a certificate that is referred to the start of liquidation work and submit it through the electronic portal. After the issuance of the certificate, you go to the Sanad office to submit an advertisement, and after 6 months, you should come to the Tax Authority with the advertisement papers, the record papers and the payment card for the clearance certificate, and then you go to the Ministry of Commerce and Industry in order to cancel the register."
أريد غلق الشركة ما هي الإجراءات التي يجب علي تخليصها؟,عليك بإستخراج شهادة بدأ أعمال تصفية وتقدم عن طريق البوابة الالكترونية بعد صدور الشهادة تذهب لمكتب سند تقدم إعلان وبعد 6 أشهرتحضر لجهاز الضرائب مع أوراق الإعلان وأوراق السجل وبطاقة الدفع لشهادة المخالصة ومن ثم تذهب لوزارة التجارة والصناعة لكي يتم إلغاء السجل.
How to obtain a certificate of commencement of liquidation work?,Through service number 15 for 5 OR.
أريد غلق الشركة ما هي الإجراءات التي يجب علي تخليصها؟,عليك بإستخراج شهادة بدأ أعمال تصفية وتقدم عن طريق البوابة الالكترونية بعد صدور الشهادة تذهب لمكتب سند تقدم إعلان وبعد 6 أشهرتحضر لجهاز الضرائب مع أوراق الإعلان وأوراق السجل وبطاقة الدفع لشهادة المخالصة ومن ثم تذهب لوزارة التجارة والصناعة لكي يتم إلغاء السجل.
How to obtain a clearance certificate?,Through the electronic portal or communicate with the Collection Department.
كيف إستخراج شهادة المخالصة ؟,عن طريق البوابه الإلكترونيه او التواصل مع دائرة التحصيل
What is a call center number?,1020 - 24746996
ما هو رقم مركز الاتصالات؟,1020 - 24746996
How can I find out the name of my inspector?,Through the electronic portal or communicate with the Tax Authority’s call center
كيف يمكنني معرفة اسم المفتش الخاص بي؟,عن طريق البوابه الالكترونيه او التواصل مع مركز اتصالات الجهاز
How can I find out my inspector's phone number?,By contacting the call center of the Tax Authority.
كيف يمكنني معرفة رقم المفتش الخاص بي؟,عن طريق التواصل مع مركز الاتصالات الخاص بالجهاز
How to renew the VAT registration certificate?,"To renew the value added Tax certificate, you must first log in to the system and then choose the company or institution. After that, click on e-services, you will see the icon ""Print Certificate"", click on it, it will be renewed automatically."
ما هي طريقة تجديد شهادة تسجيل القيمة المضافة ؟,"لتجديد شهادة القيمة المضافة عليك اولا تسجيل دخولك للنظام ومن ثم اختر الشركة او المؤسسة . بعد ذلك انقر على الخدمات الالكترونية سوف تظهر لك ايقونة ""طباعة الشهادة"" انقر عليها سوف تتجدد تلقائيا."
How to modify data?,"The data is amended from the electronic services for income tax service number (9 Declarations of Details). As for VAT, service number (5 VAT Applications)"
آلية تعديل البيانات؟,يتم تعديل البيانات من الخدمات الالكترونية بالنسبة لضريبة الدخل خدمة رقم (9 تعديل بيانات الملزم بالضريبة). اما لضريبة القيمة المضافة خدمة رقم (5 طلبات ضريبة القيمة المضافة)
What are the conditions for exemption in income tax? Is he exempt from submitting returns?,"the company or institution are being exempt if the owner of the register or one of the partners has a pioneering card, a retirement card or is a job seeker, so a proof must be attached when submitting the returns. Also, if there are 2 Omani employees whose work period is not less than 6 months during the tax year, but he must submit the final returns to not get any penalties."
ماهي شروط الاعفاء في ضريبة الدخل؟ وهل معفي من تقديم الاقرارات,"تعفى الشركة او المؤسسة اذا كان لصاحب السجل او احد الشركاء بطاقة ريادة, بطاقة تقاعد او كان باحث عن عمل يجب ارفاق ما يثبت عند تقديم الاقرارات..او اذا توفر عدد 2 من الموظفين العمانيين الذين لاتقل فترة عملهم عن 6 اشهر خلال السنة الضريبية.. ولكن لابد له من تقديم الاقرارات النهائية حتى لا تترتب عليه غرامات"
"I have a commercial registration but I am not practicing the activity, do I have penalties and what are the procedures I must take?","In the event that you do not practice the activity, you must submit returns, fill in the data with zeros, and attach a letter of non-practicing the activity with the reasons."
لدي سجل تجاري ولكن غير مزاول النشاط هل تترتب علي الغرامات وماهي الاجراءات التي يجب علي اتخاذها؟,في حالة عدم مزاولتك للنشاط يجب عليك تقديم الاقرارات وتعبئة البيانات بالاصفار وارفاق رسالة عدم مزاولة النشاط مع ذكر الاسباب
How to apply for VAT refund request?,"Log in to the Tax Authority website and then choose the company and electronic services, service number 8. You must fill out the Excel file TAXPAYER Check List and attach the top 7 sales invoices and the top 7 purchase invoices in e-services (VAT refund requests)"
كيفية طلب استرداد للقيمة المضافة؟,"سجل دخولك في موقع الجهاز من ثم اختر الشركة والخدمات الالكترونية خدمة رقم 8. يجب عليك تعبئة ملف الاكسل TAXPAYER CHECK LIST 
 وارفاق اعلى 7 فواتير بيع واعلى 7 فواتير شراء في الخدمات الالكترونية (طلبات رد ضريبة القيمة المضافة)"
"When I choose an electronic service, I see a blank page. What is the procedure?",You must update your phone number and email. You will receive the verification link directly via email. Click on it immediately to make sure.
عند اختيار خدمة من الخدمات الالكترونية تظهر لدي صفحة بيضاء ما الاجراء؟,يجب عليك تحديث رقم الهاتف والايميل . سوف يصلك مباشرة رابط التحقق عبر البريد الالكتروني انقر عليه فور الوصول للتأكد.
What is the process for liquidating the company?,"1. Issuing a certificate of starting liquidation works online, service No.16, its fee is 5 RO.
  2. Submit an advertisement at Sanad offices and wait for 6 months. 
 3.After 6 months from the announcement, please attend to the Tax Authority to make a tax assessment with the inspector, bring with you the identification card, record papers, announcement of the official gazette, debit card (Visa) and issuance of a certificate of the completion of liquidation works which its fee is 5 RO."
ماهي الالية لتصفية الشركة ؟,"1. اصدار شهادة بدء اعمال تصفية اونلاين خدمة رقم 15 رسومها 5 ريالات.
 2. تقديم اعلان في مكاتب سند وانتظار لمدة 6 اشهر
 3. بعد انقضاء 6 اشهر من الاعلان يرجى الحظور للجهاز لعمل ربط ضريبي عند المفتش مع احضار البطاقة الشخصية + اوراق السجل + اعلان الجريدة الرسمية + بطاقة الخصم (فيزا) واصدار شهادة انهاء اعمال تصفية رسومها 5 ريالات"
Can I see the VAT dues?,"Yes, you can from the electronic services, service number 2 (claims and payments)."
هل يمكن ان اطلع على مستحقات ضريبة القيمة المضافة؟,نعم بامكانك من الخدمات الالكترونية خدمة رقم 2 المطالبات والمدفوعات
Is it possible to change the fiscal year in income tax?,"Yes, you can change by sending an official letter to the inspector to be approved."
هل ممكن تغيير السنة المالية في ضريبة الدخل؟,نعم بإمكانك تغيير وذلك عبر ارسال رسالة رسمية للمفتش ليتم اعتمادها والموافقة عليها
Is the tax card different from the certificate?,"Yes, the tax card belongs to the income tax and it is required in some institutions for clearing transactions. It is issued from electronic services, service number 20, its fees are 10 RO, and it is valid for two years. While the tax certificate belongs to VAT, and it is issued as a proof for VAT registration. There are no fees for its issuance, and it is valid for one year."
هل تختلف البطاقة الضريبية عن الشهادة ؟,نعم البطاقة الضريبية تابعة لضريبة الدخل وتطلب من بعض الجهات لتخليص المعاملات ويتم اصدارها من الخدمات الالكترونية خدمة رقم 20 رسومها 10 ريالات. تكون صالحة لمدة عامين أما الشهادة الضريبية تابعة لضريبة القيمة المضافة تصدر كدليل للتسجيل في القيمة المضافة ولاتوجد رسوم لاصدارها و تكون صالحة لمدة عام.
The return was paid by the system but it appears unpaid?,The amount in the system is being updated after 3 weeks.
تم دفع الاقرار عن طريق النظام ولكن يظهر غير مدفوع ؟,يتم تحديث المبلغ في النظام بعد 3 اسابيع
How to request for cancellation in income tax?,Income tax cannot be canceled (except in case of cancellation of the commercial registration).
كيفية طلب الإلغاء في ضريبة الدخل ؟,لايمكن إلغاء ضريبة الدخل (إلا في حالة إلغاء السجل التجاري )
What is VAT?,It is a widespread indirect tax levied on all goods and services that are bought and sold by a person registered in VAT.
ماهي ضريبة القيمة المضافة؟,هي ضريبة غير مباشرة واسعة النطاق تفرض على جميع السلع والخدمات التي يتم شراؤها وبيعها من قبل شخص مسجل في ضريبة القيمة المضافة .
When was VAT imposed?,Imposed on 16 April 2021 by Royal Decree No. 121/2020
متى فرضت ضريبة القيمة المضافة ؟,فرضت في 16 إبريل 2021 بموجب المرسوم السلطاني رقم 121/2020
When should I register for VAT?,"If the supplies per year reach 38.500, you must register for VAT, and you can register voluntarily if the supplies reach 19.250"
متى يفرض علي التسجيل في ضريبة القيمة المضافة ؟,إذا وصلت التوريدات في السنة إلى 38.500 يلزم التسجيل في ضريبة القيمة المضافة ويمكنك التسجيل إختياري اذا وصلت التوريدات إلى 19.250
How do I get a VAT certificate?,You can extract by selecting the company with VAT and then click on Print VAT Certificate.
كيف استخرج شهادة القيمة المضافة ؟,يمكنك الإستخراج عن طريق إختيار الشركة مع  VAT ومن ثم إضغط على طباعة شهادة القيمة المضافة أو من الخدمات الإلكترونية خدمة رقم 10
How to amend data in VAT?,"Through e-services, service No. 5, and then click on Add New Application (Data Amendment)"
كيفية تعديل بيانات في ضريبة القيمة المضافة ؟,عن طريق الخدمات الإلكترونية خدمة رقم 5 ومن ثم تضغط على إضافة طلب جديد (تعديل البيانات )
How to file a VAT return?,"Through e-services in VAT, Service No.3"
كيفية تقديم الإقرار لضريبة القيمة المضافة ؟,عن طريق الخدمات الإلكترونية في القيمة المضافة خدمة رقم 3
How to refund in VAT?,"Through e-services, service No. 8, when the input tax is higher than the output tax."
طريقة الإسترداد في ضريبة القيمة المضافة ؟,عن طريق الخدمات الإلكترونية خدمة رقم 8 عندما تكون ضريبة المدخلات أعلى من ضريبة المخرجات
What is a tax group/how to register in a tax group?,They are two or more companies registered in VAT and the two tax files are merged into one file and registered in service No. 6
ما هي المجموعة الضريبية /و كيفية التسجيل في المجموعة الضريبية؟,هي عبارة عن شركتان او اكثر مسجلين في ضريبة القيمة المضافه ويتم دمج الملفين الضريبيين في ملف واحد. وتسجيل في الخدمة رقم 6
How do I know what claims I have?,"Through E-Services, service No. 2 Claims and Payments"
كيف لي بمعرفة المطالبات التي علي ؟,عن طريق الخدمات الإلكترونية خدمة رقم 2 المطالبات والمدفوعات
How to pay for returns?,"Through E-Services, service No. 2 Claims and Payments"
كيفية طريقه الدفع للإقرارات ؟,عن طريق الخدمات الإلكترونية خدمة رقم 2 المطالبات والمدفوعات
How to grant authority and authorize a partner in VAT?,You can by service number 5 (value-added Tax Applications) and approve the request.
كيفية منح صلاحية وتفويض شريك في القيمة المضافة ؟,يمكنك عن طريق خدمة رقم 5 طلبات القيمة المضافه والموافقة على الطلب
What are exempt supplies?,"Financial services/healthcare services and related goods/education services, goods and services… /local transportation for passengers/resale of residential properties/rental of properties for residential purposes. (Article 47)."
ما هي التوريدات المعفاة ؟,الخدمات المالية /خدمات الرعاية الصحية والسلع المرتبطة بها /خدمات التعليم والسلع والخدمات ../النقل المحلي للركاب/إعادة بيع العقارات السكنية /تأجير العقارات للأغراض السكنية. (المادة 47 )
How to request a cancellation in VAT?,"It must be submitted through the electronic portal, service No. 5 (VAT Applications) and then write the reasons for cancellation of registration and attach the required attachments."
كيفية طلب الإلغاء في ضريبة القيمة المضافة ؟,يجب تقديمه عن طريق البوابة الالكترونية الخدمة رقم 5 (طلبات ضريبة القيمة المضافة ثم أكتب أسباب إلغاء التسجيل وارفق المرفقات المطلوبة
Is it possible to postpone the payment in VAT?,"Yes, service 9."
هل يمكن تأجيل السداد في القيمة المضافه؟,"نعم , خدمة رقم 9"
"In case the sale is made to free zones, is a tax charged?",No tax (calculated at 0%) Article 54
في حال تم البيع لمناطق الحره هل يتم فرض ضريبة ؟,لا تحتسب ضريبة (تحتسب بمعدل 0%) المادة 54
Is there a VAT exemption?,It depends on the type of supply
هل يوجد إعفاء للقيمة المضافة ؟,يعتمد على نوع التوريد
Is it possible to settle the amount due to me in advance with the current claims in the return?,We do not currently have a settlement service. Payment is made / you can request a refund.
هل يمكن تسوية المبلغ المستحق لي مسبقا بالمطالبات الحاليه في الاقرار ؟,لا يوجد لدينا خدمة التسويه حاليا.يتم الدفع / يمكنك طلب الاسترداد
How many VAT returns do I have to file per year?,"You have to file 4 returns per year.
  First Quarter: From January 1 to March 31
  Second Quarter: From April 1 to June 30 Third Quarter: From July 1 to September 30 Fourth Quarter: From October 1 to December 31"
كم اقرار يجب لي تقديمة في السنة في ضريبة القيمة المضافه ؟,"عليك تقديم 4 اقرارات في السنه.
 الربع الاول :من شهر 1-يناير الى 31-مارس
 الربع الثاني : من 1-أبريل الى 30-يونيو 
 الربع الثالث: من 1-يوليو الى 30-سبتمر
 الربع الرابع: من 1-أكتوبر الى 31-ديسمبر"
Who is taxpayer?,A person who practices an activity in an independent capacity with the aim of generating income and he/she is registered with the Tax Authority or is obliged to register in accordance with the provisions of this Law.
من هو الخاضع للضريبه؟,هو الشخص الذي يمارس نشاط بصفه مستقله بهدف تحقيق الدخل ويتم تسجيلة لدى الجهاز او يكون ملزما بالتسجيل وفقا لأحكام هذا القانون.
What does surcharge mean?,It is a tax imposed at the rate of 1% of the value of unpaid tax. It is taken for each month of delay.
ما معنى الضريبة الاضافيه؟,هي ضريبة تفرض بواقع 1% من قيمة الضريبه الغير مدفوعه او غير مسدده . وذلك عن كل شهر تأخير.
Is there a design for tax invoices?,"Yes, it is found in Article No. 144 of the laws and agreements."
هل يوجد تصميم للفواتير الضريبه ؟,نعم يوجد في المادة رقم 144 من القوانين والأتفاقيات.
When taxpayer can refund the VAT?,If the input tax is higher than the output tax.
متى يحق للخاضع استرداد ضريبة القيمه المضافه؟,اذا كانت ضريبة المدخلات أعلى من ضريبة المخرجات.
A taxpayer who has a set of commercial registrations asks if the Riyadh card include all the commercial registrations he has.,No. Riyadh card only includes one commercial registration.
خاضع لديه مجموعة سجلات تجاريه ويسأل هل بطاقة رياده تشمل جميع السجلات لدي؟,لا... بطاقة ريادة تشمل سجل واحد فقط.
Can the taxpayer change the bank account number in VAT?,"Yes, he has the right to change from the website or communicate with the Registration Department."
هل يحق للخاضع تغير رقم الحساب البنكي في ضريبة القيمه المضافه؟,نعم يحق له التغيير من الموقع او التواصل مع قسم التسجيل.
What should the taxpayer do when canceling his registration in VAT?,He shall keep the accounting records and books referred to in Article (70) for a period of ten years from the date of the notification of cancellation.
ماذا يجب على الخاضع أن يفعل عند الغاء تسجيله في ضريبة القيمه المضافه ؟,يجب علية الاحتفاظ بسجلات ودفاتر المحاسبه المشار اليها في المادة (70) لمدة عشر سنوات من تاريخ الأخطار بالالغاء.
"I have a commercial registration fourth degree, do I have to register in tax?",Every person who has a commercial registration must register for income tax and file tax returns on time.
انا لدي سجل تجاري الدرجة الرابعة هل يجب علي التسجيل في الضرائب ؟,يجب على كل شخص لديه سجل تجاري التسجيل في ضريبة الدخل وتقديم الاقرارات الضريبية في الوقت المحدد .
When should I register for VAT?,"If you have taxable goods or services and your revenue reaches 38,500 OMR."
متى يجب علي التسجيل في ضريبة القيمة المضافة ؟,اذا كانت لديك سلع او خدمات خاضعة للضريبة ووصلت ايراداتك الى 38500 ريال عماني
How do I know if the good I sell or the service I provide is taxable?,"The law clarified goods and services that are taxable at zero percent and exempt from tax, so if the good or service is not among them, it is considered subject to a 5 percent tax."
كيف اعرف ان السلعة التي ابيعها او الخدمة التي اقدمها خاضعة للضريبة ؟,القانون قد اوضح السلع والخدمات الخاضعة للضريبة بنسبة صفر بالمائة والمعفاة من الضريبة . فاذا كانت السلعة او الخدمة ليست من ضمنهم ، تعتبر خاضعة لضريبة بنسبة 5 بالمائة .
Are activities in private areas exempt from income tax?,Only the activities specified by the Income Tax Law are exempt from income tax. You can read the Income Tax Law from the portal.
هل الانشطة التي في المناطق الخاصة معفاة من ضريبة الدخل ؟,الانشطة التي حددها قانون ضريبة الدخل هي فقط التي تعفى من ضريبة الدخل . يمكنك الاطلاع على قانون ضريبة الدخل من البوابة الالكترونية .
When should I file my income tax return?,You must file an income tax return within four months from the end of the accounting year.
متى يجب علي تقديم اقرار ضريبة الدخل ؟,يجب عليك تقديم اقرار ضريبة الدخل خلال اربعة اشهر من انتهاء السنة المحاسبية .
